scenario_id,hospital_profile,load_factor,run_steps,seed,doctor_count,nurse_count_total,triage_nurse_count,bedside_nurse_count,bedside_nurse_service_time_multiplier,low_ctas_fast_track_enabled,low_ctas_fast_track_fraction,experiment_group,output_root
small_county_ed_time_window_check_lf2p0_seed42_steps1000_d2_t1_b4_stm1p0,small_county_ed,2.0,1000,42,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed43_steps1000_d2_t1_b4_stm1p0,small_county_ed,2.0,1000,43,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed44_steps1000_d2_t1_b4_stm1p0,small_county_ed,2.0,1000,44,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed42_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,42,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed43_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,43,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed44_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,44,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed42_steps2880_d2_t1_b4_stm1p0,small_county_ed,2.0,2880,42,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed43_steps2880_d2_t1_b4_stm1p0,small_county_ed,2.0,2880,43,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_time_window_check_lf2p0_seed44_steps2880_d2_t1_b4_stm1p0,small_county_ed,2.0,2880,44,2,5,1,4,1.0,false,0.0,time_window_check,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed42_steps1440_d2_t1_b3_stm1p0,small_county_ed,2.0,1440,42,2,4,1,3,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed43_steps1440_d2_t1_b3_stm1p0,small_county_ed,2.0,1440,43,2,4,1,3,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed44_steps1440_d2_t1_b3_stm1p0,small_county_ed,2.0,1440,44,2,4,1,3,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed42_steps1440_d2_t1_b6_stm1p0,small_county_ed,2.0,1440,42,2,7,1,6,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed43_steps1440_d2_t1_b6_stm1p0,small_county_ed,2.0,1440,43,2,7,1,6,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed44_steps1440_d2_t1_b6_stm1p0,small_county_ed,2.0,1440,44,2,7,1,6,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed42_steps1440_d2_t1_b9_stm1p0,small_county_ed,2.0,1440,42,2,10,1,9,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed43_steps1440_d2_t1_b9_stm1p0,small_county_ed,2.0,1440,43,2,10,1,9,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed44_steps1440_d2_t1_b9_stm1p0,small_county_ed,2.0,1440,44,2,10,1,9,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed42_steps1440_d2_t1_b12_stm1p0,small_county_ed,2.0,1440,42,2,13,1,12,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed43_steps1440_d2_t1_b12_stm1p0,small_county_ed,2.0,1440,43,2,13,1,12,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed44_steps1440_d2_t1_b12_stm1p0,small_county_ed,2.0,1440,44,2,13,1,12,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed42_steps1440_d2_t1_b18_stm1p0,small_county_ed,2.0,1440,42,2,19,1,18,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed43_steps1440_d2_t1_b18_stm1p0,small_county_ed,2.0,1440,43,2,19,1,18,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_nurse_capacity_sweep_lf2p0_seed44_steps1440_d2_t1_b18_stm1p0,small_county_ed,2.0,1440,44,2,19,1,18,1.0,false,0.0,nurse_capacity_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed42_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,42,2,5,1,4,1.0,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed43_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,43,2,5,1,4,1.0,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed44_steps1440_d2_t1_b4_stm1p0,small_county_ed,2.0,1440,44,2,5,1,4,1.0,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed42_steps1440_d2_t1_b4_stm0p75,small_county_ed,2.0,1440,42,2,5,1,4,0.75,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed43_steps1440_d2_t1_b4_stm0p75,small_county_ed,2.0,1440,43,2,5,1,4,0.75,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed44_steps1440_d2_t1_b4_stm0p75,small_county_ed,2.0,1440,44,2,5,1,4,0.75,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed42_steps1440_d2_t1_b4_stm0p5,small_county_ed,2.0,1440,42,2,5,1,4,0.5,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed43_steps1440_d2_t1_b4_stm0p5,small_county_ed,2.0,1440,43,2,5,1,4,0.5,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed44_steps1440_d2_t1_b4_stm0p5,small_county_ed,2.0,1440,44,2,5,1,4,0.5,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed42_steps1440_d2_t1_b4_stm0p25,small_county_ed,2.0,1440,42,2,5,1,4,0.25,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed43_steps1440_d2_t1_b4_stm0p25,small_county_ed,2.0,1440,43,2,5,1,4,0.25,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
small_county_ed_bedside_service_time_sweep_lf2p0_seed44_steps1440_d2_t1_b4_stm0p25,small_county_ed,2.0,1440,44,2,5,1,4,0.25,false,0.0,bedside_service_time_sweep,cluster_outputs/ed_bottleneck_v1
large_tertiary_ed_large_tertiary_smoke_lf1p0_seed42_steps1000_d8_t4_b16_stm1p0,large_tertiary_ed,1.0,1000,42,8,20,4,16,1.0,false,0.0,large_tertiary_smoke,cluster_outputs/ed_bottleneck_v1
large_tertiary_ed_large_tertiary_smoke_lf2p0_seed42_steps1000_d8_t4_b16_stm1p0,large_tertiary_ed,2.0,1000,42,8,20,4,16,1.0,false,0.0,large_tertiary_smoke,cluster_outputs/ed_bottleneck_v1
