scenario_id,hospital_profile,doctor_count,nurse_count,normal_patient_count,load_factor,preload_patient_count,arrival_profile_mode,background_arrival_enabled,boarding_profile,ctas_distribution,seed,run_steps
large_tertiary_ed__lf_0p8,large_tertiary_ed,8,16,64,0.8,51,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_1p0,large_tertiary_ed,8,16,64,1.0,64,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_1p2,large_tertiary_ed,8,16,64,1.2,77,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_1p4,large_tertiary_ed,8,16,64,1.4,90,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_1p6,large_tertiary_ed,8,16,64,1.6,102,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_1p8,large_tertiary_ed,8,16,64,1.8,115,normal,false,baseline,fixed_default,42,1000
large_tertiary_ed__lf_2p0,large_tertiary_ed,8,16,64,2.0,128,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_0p8,medium_city_ed,4,8,28,0.8,22,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_1p0,medium_city_ed,4,8,28,1.0,28,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_1p2,medium_city_ed,4,8,28,1.2,34,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_1p4,medium_city_ed,4,8,28,1.4,39,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_1p6,medium_city_ed,4,8,28,1.6,45,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_1p8,medium_city_ed,4,8,28,1.8,50,normal,false,baseline,fixed_default,42,1000
medium_city_ed__lf_2p0,medium_city_ed,4,8,28,2.0,56,normal,false,baseline,fixed_default,42,1000
small_county_ed__lf_1p0,small_county_ed,2,4,12,1.0,12,normal,false,baseline,fixed_default,42,1000
small_county_ed__lf_1p5,small_county_ed,2,4,12,1.5,18,normal,false,baseline,fixed_default,42,1000
small_county_ed__lf_2p0,small_county_ed,2,4,12,2.0,24,normal,false,baseline,fixed_default,42,1000
small_county_ed__lf_2p5,small_county_ed,2,4,12,2.5,30,normal,false,baseline,fixed_default,42,1000
small_county_ed__lf_3p0,small_county_ed,2,4,12,3.0,36,normal,false,baseline,fixed_default,42,1000
